entity_id,source_id,jurisdiction,service_category,metric_type,service_key,service_name,applicant_country,applicant_country_name,observation_number,value_raw,value_days,unit_original,status,effective_date,retrieved_at,source_url
ca-amend-immigration-record,ircc-noncountry,CA,settlement,published,ca-amend-immigration-record,Amendment of an immigration record,,,1,8 weeks,56,weeks,ok,2026-08-19,2026-08-22T01:17:28.517Z,https://www.canada.ca/content/dam/ircc/documents/json/data-ptime-non-country-en.json
ca-amend-immigration-record,ircc-noncountry,CA,settlement,published,ca-amend-immigration-record,Amendment of an immigration record,,,2,8 weeks,56,weeks,ok,2026-08-26,2026-08-28T23:20:53.386Z,https://www.canada.ca/content/dam/ircc/documents/json/data-ptime-non-country-en.json
ca-amend-tr-record,ircc-noncountry,CA,settlement,published,ca-amend-tr-record,Amendment of a temporary resident record,,,1,6 weeks,42,weeks,ok,2026-08-19,2026-08-22T01:17:28.517Z,https://www.canada.ca/content/dam/ircc/documents/json/data-ptime-non-country-en.json
ca-amend-tr-record,ircc-noncountry,CA,settlement,published,ca-amend-tr-record,Amendment of a temporary resident record,,,2,6 weeks,42,weeks,ok,2026-08-26,2026-08-28T23:20:53.386Z,https://www.canada.ca/content/dam/ircc/documents/json/data-ptime-non-country-en.json
ca-atlantic-immigration-program,ircc-forward-looking,CA,settlement,forward,ca-atlantic-immigration-program,Atlantic Immigration Program,,,1,About 26 months,791.44,months,ok,2026-08-10,2026-08-27T00:29:54.720Z,https://www.canada.ca/content/dam/ircc/documents/json/flpt-en.json
ca-canadian-experience-class,ircc-forward-looking,CA,settlement,forward,ca-canadian-experience-class,Canadian Experience Class,,,1,6 months,182.64,months,ok,2026-08-10,2026-08-27T00:29:54.720Z,https://www.canada.ca/content/dam/ircc/documents/json/flpt-en.json
ca-caregivers,ircc-forward-looking,CA,settlement,forward,ca-caregivers,Caregivers (all programs),,,1,About 78 months,2374.32,months,ok,2026-08-10,2026-08-27T00:29:54.720Z,https://www.canada.ca/content/dam/ircc/documents/json/flpt-en.json
ca-citizenship-adoption-part1,ircc-noncountry,CA,settlement,published,ca-citizenship-adoption-part1,Citizenship for a person adopted abroad (Part 1),,,1,Part 1: 4 months,121.76,months,ok,2026-08-19,2026-08-22T01:17:28.517Z,https://www.canada.ca/content/dam/ircc/documents/json/data-ptime-non-country-en.json
ca-citizenship-adoption-part1,ircc-noncountry,CA,settlement,published,ca-citizenship-adoption-part1,Citizenship for a person adopted abroad (Part 1),,,2,Part 1: 4 months,121.76,months,ok,2026-08-26,2026-08-28T23:20:53.386Z,https://www.canada.ca/content/dam/ircc/documents/json/data-ptime-non-country-en.json
ca-citizenship-certificate,ircc-forward-looking,CA,settlement,forward,ca-citizenship-certificate,Citizenship certificate (proof of citizenship),,,1,About 25 months,761,months,ok,2026-08-10,2026-08-27T00:29:54.720Z,https://www.canada.ca/content/dam/ircc/documents/json/flpt-en.json
ca-citizenship-grant,ircc-forward-looking,CA,settlement,forward,ca-citizenship-grant,Citizenship grant,,,1,About 12 months,365.28,months,ok,2026-08-10,2026-08-27T00:29:54.720Z,https://www.canada.ca/content/dam/ircc/documents/json/flpt-en.json
ca-citizenship-record-search,ircc-noncountry,CA,settlement,published,ca-citizenship-record-search,Citizenship: search of citizenship records,,,1,17 months,517.48,months,ok,2026-08-19,2026-08-22T01:17:28.517Z,https://www.canada.ca/content/dam/ircc/documents/json/data-ptime-non-country-en.json
ca-citizenship-record-search,ircc-noncountry,CA,settlement,published,ca-citizenship-record-search,Citizenship: search of citizenship records,,,2,17 months,517.48,months,ok,2026-08-26,2026-08-28T23:20:53.386Z,https://www.canada.ca/content/dam/ircc/documents/json/data-ptime-non-country-en.json
ca-citizenship-renunciation,ircc-noncountry,CA,settlement,published,ca-citizenship-renunciation,Citizenship: renunciation,,,1,4 months,121.76,months,ok,2026-08-19,2026-08-22T01:17:28.517Z,https://www.canada.ca/content/dam/ircc/documents/json/data-ptime-non-country-en.json
ca-citizenship-renunciation,ircc-noncountry,CA,settlement,published,ca-citizenship-renunciation,Citizenship: renunciation,,,2,4 months,121.76,months,ok,2026-08-26,2026-08-28T23:20:53.386Z,https://www.canada.ca/content/dam/ircc/documents/json/data-ptime-non-country-en.json
ca-citizenship-resumption,ircc-noncountry,CA,settlement,published,ca-citizenship-resumption,Citizenship: resumption,,,1,Not enough data,,,insufficient_data,2026-08-19,2026-08-22T01:17:28.517Z,https://www.canada.ca/content/dam/ircc/documents/json/data-ptime-non-country-en.json
ca-citizenship-resumption,ircc-noncountry,CA,settlement,published,ca-citizenship-resumption,Citizenship: resumption,,,2,Not enough data,,,insufficient_data,2026-08-26,2026-08-28T23:20:53.386Z,https://www.canada.ca/content/dam/ircc/documents/json/data-ptime-non-country-en.json
ca-eta,ircc-noncountry,CA,visa,published,ca-eta,Electronic Travel Authorization (eTA),,,1,5 minutes,0.0035,minutes,ok,2026-08-19,2026-08-22T01:17:28.517Z,https://www.canada.ca/content/dam/ircc/documents/json/data-ptime-non-country-en.json
ca-eta,ircc-noncountry,CA,visa,published,ca-eta,Electronic Travel Authorization (eTA),,,2,5 minutes,0.0035,minutes,ok,2026-08-26,2026-08-28T23:20:53.386Z,https://www.canada.ca/content/dam/ircc/documents/json/data-ptime-non-country-en.json
ca-federal-skilled-trades,ircc-noncountry,CA,settlement,published,ca-federal-skilled-trades,Federal Skilled Trades (Express Entry),,,1,Not enough data,,,insufficient_data,2026-08-19,2026-08-22T01:17:28.517Z,https://www.canada.ca/content/dam/ircc/documents/json/data-ptime-non-country-en.json
ca-federal-skilled-trades,ircc-noncountry,CA,settlement,published,ca-federal-skilled-trades,Federal Skilled Trades (Express Entry),,,2,Not enough data,,,insufficient_data,2026-08-26,2026-08-28T23:20:53.386Z,https://www.canada.ca/content/dam/ircc/documents/json/data-ptime-non-country-en.json
ca-federal-skilled-worker,ircc-forward-looking,CA,settlement,forward,ca-federal-skilled-worker,Federal Skilled Worker Program,,,1,About 6 months,182.64,months,ok,2026-08-10,2026-08-27T00:29:54.720Z,https://www.canada.ca/content/dam/ircc/documents/json/flpt-en.json
ca-government-assisted-refugees-outside-quebec,ircc-forward-looking,CA,refugee,forward,ca-government-assisted-refugees-outside-quebec,Government-assisted refugees — outside Quebec,,,1,About 14 months,426.16,months,ok,2026-08-10,2026-08-27T00:29:54.720Z,https://www.canada.ca/content/dam/ircc/documents/json/flpt-en.json
ca-government-assisted-refugees-quebec,ircc-forward-looking,CA,refugee,forward,ca-government-assisted-refugees-quebec,Government-assisted refugees — Quebec,,,1,About 9 months,273.96,months,ok,2026-08-10,2026-08-27T00:29:54.720Z,https://www.canada.ca/content/dam/ircc/documents/json/flpt-en.json
ca-humanitarian-compassionate-outside-quebec,ircc-forward-looking,CA,settlement,forward,ca-humanitarian-compassionate-outside-quebec,Humanitarian and compassionate cases — outside Quebec,,,1,More than 10 years,3652.5,years,ok,2026-08-10,2026-08-27T00:29:54.720Z,https://www.canada.ca/content/dam/ircc/documents/json/flpt-en.json
ca-humanitarian-compassionate-quebec,ircc-forward-looking,CA,settlement,forward,ca-humanitarian-compassionate-quebec,Humanitarian and compassionate cases — Quebec,,,1,More than 10 years,3652.5,years,ok,2026-08-10,2026-08-27T00:29:54.720Z,https://www.canada.ca/content/dam/ircc/documents/json/flpt-en.json
ca-iec,ircc-noncountry,CA,permit,published,ca-iec,International Experience Canada (current season),,,1,7 weeks,49,weeks,ok,2026-08-19,2026-08-22T01:17:28.517Z,https://www.canada.ca/content/dam/ircc/documents/json/data-ptime-non-country-en.json
ca-iec,ircc-noncountry,CA,permit,published,ca-iec,International Experience Canada (current season),,,2,6 weeks,42,weeks,ok,2026-08-26,2026-08-28T23:20:53.386Z,https://www.canada.ca/content/dam/ircc/documents/json/data-ptime-non-country-en.json
ca-iec-past-season,ircc-noncountry,CA,permit,published,ca-iec-past-season,International Experience Canada (previous season),,,1,Not enough data,,,insufficient_data,2026-08-19,2026-08-22T01:17:28.517Z,https://www.canada.ca/content/dam/ircc/documents/json/data-ptime-non-country-en.json
ca-iec-past-season,ircc-noncountry,CA,permit,published,ca-iec-past-season,International Experience Canada (previous season),,,2,Not enough data,,,insufficient_data,2026-08-26,2026-08-28T23:20:53.386Z,https://www.canada.ca/content/dam/ircc/documents/json/data-ptime-non-country-en.json
ca-parents-grandparents-sponsorship-outside-quebec,ircc-forward-looking,CA,sponsorship,forward,ca-parents-grandparents-sponsorship-outside-quebec,Parents and grandparents sponsorship — outside Quebec,,,1,About 29 months,882.76,months,ok,2026-08-10,2026-08-27T00:29:54.720Z,https://www.canada.ca/content/dam/ircc/documents/json/flpt-en.json
