entity_id,source_id,jurisdiction,service_category,metric_type,service_key,service_name,applicant_country,applicant_country_name,value_raw,value_days,unit_original,status,effective_date,retrieved_at,source_url,confidence,source_collection_status,source_collection_status_since,source_collection_status_note,source_last_verified_at
ca-amend-immigration-record,ircc-noncountry,CA,settlement,published,ca-amend-immigration-record,Amendment of an immigration record,,,11 weeks,77,weeks,ok,2026-09-22,2026-09-25T00:45:33.675Z,https://www.canada.ca/content/dam/ircc/documents/json/data-ptime-non-country-en.json,official,active,,,2026-09-25T01:18:50.817Z
ca-amend-tr-record,ircc-noncountry,CA,settlement,published,ca-amend-tr-record,Amendment of a temporary resident record,,,8 weeks,56,weeks,ok,2026-09-22,2026-09-25T00:45:33.675Z,https://www.canada.ca/content/dam/ircc/documents/json/data-ptime-non-country-en.json,official,active,,,2026-09-25T01:18:50.817Z
ca-atlantic-immigration-program,ircc-forward-looking,CA,settlement,forward,ca-atlantic-immigration-program,Atlantic Immigration Program,,,About 26 months,791.44,months,ok,2026-09-03,2026-09-25T00:45:28.713Z,https://www.canada.ca/content/dam/ircc/documents/json/flpt-en.json,official,active,,,2026-09-25T01:18:47.841Z
ca-canadian-experience-class,ircc-forward-looking,CA,settlement,forward,ca-canadian-experience-class,Canadian Experience Class,,,About 6 months,182.64,months,ok,2026-09-03,2026-09-25T00:45:28.713Z,https://www.canada.ca/content/dam/ircc/documents/json/flpt-en.json,official,active,,,2026-09-25T01:18:47.841Z
ca-caregivers,ircc-forward-looking,CA,settlement,forward,ca-caregivers,Caregivers (all programs),,,About 77 months,2343.88,months,ok,2026-09-03,2026-09-25T00:45:28.713Z,https://www.canada.ca/content/dam/ircc/documents/json/flpt-en.json,official,active,,,2026-09-25T01:18:47.841Z
ca-citizenship-adoption-part1,ircc-noncountry,CA,settlement,published,ca-citizenship-adoption-part1,Citizenship for a person adopted abroad (Part 1),,,Part 1: 4 months,121.76,months,ok,2026-09-22,2026-09-25T00:45:33.675Z,https://www.canada.ca/content/dam/ircc/documents/json/data-ptime-non-country-en.json,official,active,,,2026-09-25T01:18:50.817Z
ca-citizenship-certificate,ircc-forward-looking,CA,settlement,forward,ca-citizenship-certificate,Citizenship certificate (proof of citizenship),,,About 33 months,1004.52,months,ok,2026-09-03,2026-09-25T00:45:28.713Z,https://www.canada.ca/content/dam/ircc/documents/json/flpt-en.json,official,active,,,2026-09-25T01:18:47.841Z
ca-citizenship-grant,ircc-forward-looking,CA,settlement,forward,ca-citizenship-grant,Citizenship grant,,,About 12 months,365.28,months,ok,2026-09-03,2026-09-25T00:45:28.713Z,https://www.canada.ca/content/dam/ircc/documents/json/flpt-en.json,official,active,,,2026-09-25T01:18:47.841Z
ca-citizenship-record-search,ircc-noncountry,CA,settlement,published,ca-citizenship-record-search,Citizenship: search of citizenship records,,,18 months,547.92,months,ok,2026-09-22,2026-09-25T00:45:33.675Z,https://www.canada.ca/content/dam/ircc/documents/json/data-ptime-non-country-en.json,official,active,,,2026-09-25T01:18:50.817Z
ca-citizenship-renunciation,ircc-noncountry,CA,settlement,published,ca-citizenship-renunciation,Citizenship: renunciation,,,4 months,121.76,months,ok,2026-09-22,2026-09-25T00:45:33.675Z,https://www.canada.ca/content/dam/ircc/documents/json/data-ptime-non-country-en.json,official,active,,,2026-09-25T01:18:50.817Z
ca-citizenship-resumption,ircc-noncountry,CA,settlement,published,ca-citizenship-resumption,Citizenship: resumption,,,Not enough data,,,insufficient_data,2026-09-22,2026-09-25T00:45:33.675Z,https://www.canada.ca/content/dam/ircc/documents/json/data-ptime-non-country-en.json,official,active,,,2026-09-25T01:18:50.817Z
ca-eta,ircc-noncountry,CA,visa,published,ca-eta,Electronic Travel Authorization (eTA),,,5 minutes,0.0035,minutes,ok,2026-09-22,2026-09-25T00:45:33.675Z,https://www.canada.ca/content/dam/ircc/documents/json/data-ptime-non-country-en.json,official,active,,,2026-09-25T01:18:50.817Z
ca-federal-skilled-trades,ircc-noncountry,CA,settlement,published,ca-federal-skilled-trades,Federal Skilled Trades (Express Entry),,,Not enough data,,,insufficient_data,2026-09-22,2026-09-25T00:45:33.675Z,https://www.canada.ca/content/dam/ircc/documents/json/data-ptime-non-country-en.json,official,active,,,2026-09-25T01:18:50.817Z
ca-federal-skilled-worker,ircc-forward-looking,CA,settlement,forward,ca-federal-skilled-worker,Federal Skilled Worker Program,,,About 7 months,213.08,months,ok,2026-09-03,2026-09-25T00:45:28.713Z,https://www.canada.ca/content/dam/ircc/documents/json/flpt-en.json,official,active,,,2026-09-25T01:18:47.841Z
ca-government-assisted-refugees-outside-quebec,ircc-forward-looking,CA,refugee,forward,ca-government-assisted-refugees-outside-quebec,Government-assisted refugees — outside Quebec,,,About 14 months,426.16,months,ok,2026-09-03,2026-09-25T00:45:28.713Z,https://www.canada.ca/content/dam/ircc/documents/json/flpt-en.json,official,active,,,2026-09-25T01:18:47.841Z
ca-government-assisted-refugees-quebec,ircc-forward-looking,CA,refugee,forward,ca-government-assisted-refugees-quebec,Government-assisted refugees — Quebec,,,About 9 months,273.96,months,ok,2026-09-03,2026-09-25T00:45:28.713Z,https://www.canada.ca/content/dam/ircc/documents/json/flpt-en.json,official,active,,,2026-09-25T01:18:47.841Z
ca-humanitarian-compassionate-outside-quebec,ircc-forward-looking,CA,settlement,forward,ca-humanitarian-compassionate-outside-quebec,Humanitarian and compassionate cases — outside Quebec,,,More than 10 years,3652.5,years,ok,2026-09-03,2026-09-25T00:45:28.713Z,https://www.canada.ca/content/dam/ircc/documents/json/flpt-en.json,official,active,,,2026-09-25T01:18:47.841Z
ca-humanitarian-compassionate-quebec,ircc-forward-looking,CA,settlement,forward,ca-humanitarian-compassionate-quebec,Humanitarian and compassionate cases — Quebec,,,More than 10 years,3652.5,years,ok,2026-09-03,2026-09-25T00:45:28.713Z,https://www.canada.ca/content/dam/ircc/documents/json/flpt-en.json,official,active,,,2026-09-25T01:18:47.841Z
ca-iec,ircc-noncountry,CA,permit,published,ca-iec,International Experience Canada (current season),,,6 weeks,42,weeks,ok,2026-09-22,2026-09-25T00:45:33.675Z,https://www.canada.ca/content/dam/ircc/documents/json/data-ptime-non-country-en.json,official,active,,,2026-09-25T01:18:50.817Z
ca-iec-past-season,ircc-noncountry,CA,permit,published,ca-iec-past-season,International Experience Canada (previous season),,,Not enough data,,,insufficient_data,2026-09-22,2026-09-25T00:45:33.675Z,https://www.canada.ca/content/dam/ircc/documents/json/data-ptime-non-country-en.json,official,active,,,2026-09-25T01:18:50.817Z
ca-parents-grandparents-sponsorship-outside-quebec,ircc-forward-looking,CA,sponsorship,forward,ca-parents-grandparents-sponsorship-outside-quebec,Parents and grandparents sponsorship — outside Quebec,,,About 28 months,852.32,months,ok,2026-09-03,2026-09-25T00:45:28.713Z,https://www.canada.ca/content/dam/ircc/documents/json/flpt-en.json,official,active,,,2026-09-25T01:18:47.841Z
ca-parents-grandparents-sponsorship-quebec,ircc-forward-looking,CA,sponsorship,forward,ca-parents-grandparents-sponsorship-quebec,Parents and grandparents sponsorship — Quebec,,,About 63 months,1917.72,months,ok,2026-09-03,2026-09-25T00:45:28.713Z,https://www.canada.ca/content/dam/ircc/documents/json/flpt-en.json,official,active,,,2026-09-25T01:18:47.841Z
ca-passport-office,ircc-passport,CA,passport,service_standard,ca-passport-office,Passport (in person at a passport office),,,"up to 2 weeks, plus mail time",14,weeks,ok,2026-08-22,2026-08-22T01:17:31.484Z,https://www.canada.ca/en/immigration-refugees-citizenship/services/canadian-passports/processing-times.html,official,active,,,2026-09-25T01:18:54.832Z
ca-passport-service-canada,ircc-passport,CA,passport,service_standard,ca-passport-service-canada,Passport (Service Canada Centre or by mail),,,"up to 17 weeks, plus mail time",119,weeks,ok,2026-08-22,2026-08-22T01:17:31.484Z,https://www.canada.ca/en/immigration-refugees-citizenship/services/canadian-passports/processing-times.html,official,active,,,2026-09-25T01:18:54.832Z
ca-pr-card-new,ircc-noncountry,CA,settlement,published,ca-pr-card-new,PR card (first card),,,35 days,35,days,ok,2026-09-22,2026-09-25T00:45:33.675Z,https://www.canada.ca/content/dam/ircc/documents/json/data-ptime-non-country-en.json,official,active,,,2026-09-25T01:18:50.817Z
ca-pr-card-renewal,ircc-noncountry,CA,settlement,published,ca-pr-card-renewal,PR card (renewal or replacement),,,38 days,38,days,ok,2026-09-22,2026-09-25T00:45:33.675Z,https://www.canada.ca/content/dam/ircc/documents/json/data-ptime-non-country-en.json,official,active,,,2026-09-25T01:18:50.817Z
ca-privately-sponsored-refugees-outside-quebec,ircc-forward-looking,CA,refugee,forward,ca-privately-sponsored-refugees-outside-quebec,Privately sponsored refugees — outside Quebec,,,About 40 months,1217.6,months,ok,2026-09-03,2026-09-25T00:45:28.713Z,https://www.canada.ca/content/dam/ircc/documents/json/flpt-en.json,official,active,,,2026-09-25T01:18:47.841Z
ca-privately-sponsored-refugees-quebec,ircc-forward-looking,CA,refugee,forward,ca-privately-sponsored-refugees-quebec,Privately sponsored refugees — Quebec,,,About 54 months,1643.76,months,ok,2026-09-03,2026-09-25T00:45:28.713Z,https://www.canada.ca/content/dam/ircc/documents/json/flpt-en.json,official,active,,,2026-09-25T01:18:47.841Z
ca-protected-person-dependants-abroad-outside-quebec,ircc-forward-looking,CA,refugee,forward,ca-protected-person-dependants-abroad-outside-quebec,Dependants abroad of protected persons — outside Quebec,,,About 41 months,1248.04,months,ok,2026-09-03,2026-09-25T00:45:28.713Z,https://www.canada.ca/content/dam/ircc/documents/json/flpt-en.json,official,active,,,2026-09-25T01:18:47.841Z
ca-protected-person-dependants-abroad-quebec,ircc-forward-looking,CA,refugee,forward,ca-protected-person-dependants-abroad-quebec,Dependants abroad of protected persons — Quebec,,,More than 10 years,3652.5,years,ok,2026-09-03,2026-09-25T00:45:28.713Z,https://www.canada.ca/content/dam/ircc/documents/json/flpt-en.json,official,active,,,2026-09-25T01:18:47.841Z
ca-protected-persons-in-canada-outside-quebec,ircc-forward-looking,CA,refugee,forward,ca-protected-persons-in-canada-outside-quebec,Protected persons and Convention refugees in Canada — outside Quebec,,,About 13 months,395.72,months,ok,2026-09-03,2026-09-25T00:45:28.713Z,https://www.canada.ca/content/dam/ircc/documents/json/flpt-en.json,official,active,,,2026-09-25T01:18:47.841Z
ca-protected-persons-in-canada-quebec,ircc-forward-looking,CA,refugee,forward,ca-protected-persons-in-canada-quebec,Protected persons and Convention refugees in Canada — Quebec,,,More than 10 years,3652.5,years,ok,2026-09-03,2026-09-25T00:45:28.713Z,https://www.canada.ca/content/dam/ircc/documents/json/flpt-en.json,official,active,,,2026-09-25T01:18:47.841Z
ca-provincial-nominee-express-entry,ircc-forward-looking,CA,settlement,forward,ca-provincial-nominee-express-entry,Provincial Nominee Program (Express Entry),,,About 7 months,213.08,months,ok,2026-09-03,2026-09-25T00:45:28.713Z,https://www.canada.ca/content/dam/ircc/documents/json/flpt-en.json,official,active,,,2026-09-25T01:18:47.841Z
ca-provincial-nominee-non-express-entry,ircc-forward-looking,CA,settlement,forward,ca-provincial-nominee-non-express-entry,Provincial Nominee Program (non-Express Entry),,,About 13 months,395.72,months,ok,2026-09-03,2026-09-25T00:45:28.713Z,https://www.canada.ca/content/dam/ircc/documents/json/flpt-en.json,official,active,,,2026-09-25T01:18:47.841Z
